Model,Accuracy,Precision,Recall,F1
Random Forest,0.9983431952662722,0.9973214285714286,0.9964317573595004,0.9968763944667559
"Decision Tree (deep, unrestricted)",0.9983431952662722,1.0,0.9937555753791257,0.9968680089485459
KNN (K=5),0.8381065088757397,0.7115198451113263,0.655664585191793,0.6824512534818942
Gradient Boosting,0.8383431952662722,0.7422566371681416,0.5985727029438002,0.662716049382716
XGBoost,0.8300591715976331,0.7246376811594203,0.5798394290811775,0.6442021803766105
KNN (K=15),0.8101775147928995,0.652049571020019,0.6101694915254238,0.6304147465437788
SVM (with scaling),0.8255621301775148,0.7285714285714285,0.5459411239964318,0.6241713411524732
"Decision Tree (shallow, depth=5)",0.8061538461538461,0.6438095238095238,0.6030330062444246,0.6227544910179641
Logistic Regression,0.8049704142011834,0.65814696485623,0.5512934879571811,0.6
"Decision Tree (underfit, depth=1)",0.7346745562130178,0.0,0.0,0.0
SVM (without scaling),0.7346745562130178,0.0,0.0,0.0
